date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-23,-5.376480449166149,-9.208409936989844,-1.0255073727916717,46303877432
2025-03-24,-5.945484405032193,-10.125776951281878,-2.006239235134123,46303877432
2025-03-25,-6.514488360898238,-10.58244672237255,-2.240201802018572,46303877432
2025-03-26,-7.083492316764289,-11.240791795628219,-2.983799323015635,46303877432
2025-03-27,-7.6524962726303265,-11.819198205988046,-3.490855174255865,46303877432
2025-03-28,-8.221500228496378,-12.447304388007778,-3.7369114247877735,46303877432
2025-03-29,-8.79050418436243,-13.15751297880098,-4.485079029631593,46303877432
2025-03-30,-9.359508140228467,-13.17652583437995,-5.022236573033878,46303877432
2025-03-31,-9.928512096094519,-13.847840038091737,-5.8513568528774,46303877432
2024-12-31,3.9986594018922714,1.015483914554577,6.92664454013336,46303948414
